District,TotalPopulation,WorkingPopulation,BusasMainTransporttoWork,MonthlyMedianIncome
All of HongKong,7336585,3756612,27.40%,15000
Central and Western,243266,139534,17.10%,17000
Wan Chai,180123,106009,22.80%,15000
Eastern,555034,296373,24.60%,15000
Southern,274994,143331,55.80%,14500
Yau Tsim Mong,342970,183084,12.60%,14500
Sham Shui Po,405869,205565,15%,13500
Kowloon City,418732,217224,40%,15000
Wong Tai Sin,425235,209277,26.40%,14000
Kwun Tong,648541,315577,28.30%,13500
Sai Kung,461864,245332,13.80%,16000
Sha Tin,659794,335202,35.30%,15500
Tai Po,303926,153824,27.40%,15000
North,315270,150586,21.50%,14900
Kwai Tsing,520572,259427,30.70%,13500
Tsuen Wan,318916,168786,24%,15380
Tuen Mun,489299,245334,37.60%,15000
Yuen Long,614178,301676,26.20%,14500
Islands,156801,79815,28.50%,15000
堅尼地城,53339,29726,16.10%,16000
石塘咀,20138,10697,19.20%,13000
西營盤,41748,23550,23.30%,15000
上環,24756,14433,18.20%,20000
中環,8511,5105,17.20%,20000
西半山,70003,40690,15%,25000
中半山,24463,15364,12.80%,16000
山頂,5837,3595,3.40%,7250
灣仔,53589,32615,20.90%,15000
銅鑼灣,26694,14849,19.90%,13000
天后,11534,6296,19.20%,15000
大坑,12385,6658,39%,14000
跑馬地,31367,18448,26.50%,20000
東半山,10238,5901,20%,15000
大坑半山,16189,9726,24.90%,20000
渣甸山,4701,3273,17.20%,8000
北角,106822,56808,25.10%,15000
北角半山,31654,18654,19.20%,20000
鰂魚涌,47856,26676,17.60%,15000
太古城,36517,19687,10.80%,25000
康怡,26460,14771,11.10%,22000
西灣河,42282,22515,19%,16000
耀東,38468,19384,36%,13000
筲箕灣,58526,30505,16.30%,15000
杏花邨,18861,10042,6.20%,21600
柴灣,97440,50730,26.80%,13000
小西灣,56799,30553,53.10%,15000
薄扶林,28280,15184,35.30%,20000
貝沙灣,9267,5311,16.40%,26250
華富,41063,21575,62.30%,12000
田灣,17012,9154,61.80%,12650
